S.NO,"ORDER TYPE","SALE ORDER DATE","SALES ORDER NO","SALES EXCUTIVE","CUSTOMER NAME",PLACE,ZONE,"DHOTI SHIRTS",WHITE,CORE,BRAVO,DEAL,FORMAL,"TOTAL QTY","REQUESTED DELIVERY DATE",STATUS,"DESPATCH QTY","PENDING QTY","PARTIAL D.DATE","DESPATCH COMPLETE DATE","REASON FOR DELAYED DELIVERY"
1,Regular,20-06-2026,SO-0040,MANIKANDAN,"ABI SHARAN SILKS",,"Zone - 5",0,0,0,0,0,0,2.00,20-06-2026,Planned,0,2,,,
2,"Customer Order",20-06-2026,SO-0039,PASUPATHI,"ABI SHARAN SILKS",,"Zone - 5",0,0,0,0,0,0,128.00,20-06-2026,Processing,2.00,126,22-06-2026,,"Sample Order own software"
3,"Customer Order",13-06-2026,SO-0038,MUTHUPANDI,"A.K.AHAMED CO",,"Zone - 1",0,0,0,0,0,0,1.00,13-06-2026,Completed,2.00,0,13-06-2026,13-06-2026,"Sample Order"
4,"Customer Order",13-06-2026,SO-0037,PASUPATHI,"ABI SHARAN SILKS",,"Zone - 5",0,0,0,0,0,0,1.00,13-06-2026,Planned,0,1,,,SAMPLE
5,"Customer Order",30-05-2026,SO-0036,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,20.00,30-05-2026,Planned,0,20,,,"Customer Order Today Dispatch Add ponni 4 fabric only 2 meter"
6,"Customer Order",30-05-2026,SO-0035,PRAVEEN,"PALANI SARAVANA TEXTILES",,"Zone - 3",0,0,0,0,0,0,25.00,30-05-2026,Planned,0,25,,,"Withbox Deal plain order dispatch plan "
7,"Customer Order",20-05-2026,SO-0034,MUTHUPANDI,"A.K.AHAMED CO",,"Zone - 1",0,0,0,0,0,0,150.00,20-05-2026,Planned,0,150,,,"Sample demo for new software"
8,"Customer Order",29-01-2026,SO-0033,MUTHUPANDI,"VENKATESH KUMAR & CO",,"Zone - 1",0,0,0,0,0,0,0.00,29-01-2026,Planned,0,0,,,"Add 44Full-1Today Dispatch "
9,"Customer Order",29-01-2026,SO-0032,MUTHUPANDI,"SRI SARAVANA TEXTILES",,"Zone - 1",0,0,0,0,0,0,22.00,29-01-2026,Planned,0,22,,,"Urgent Refill "
10,"Customer Order",29-01-2026,SO-0031,MOORTHI,"RAMCO PATTU CENTRE",,"Zone - 2",0,0,0,0,0,0,0.00,29-01-2026,Planned,0,0,,,"Urgent refill full set despatch 
Despatch today "
11,"Customer Order",14-09-2025,SO-0030,MUTHUPANDI,"PUNNAGAI SILKS",,"Zone - 1",0,0,0,0,0,0,68.00,10-11-2025,Planned,0,68,,,"Urgent Refill "
12,"Customer Order",29-08-2025,SO-0029,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,2.00,05-11-2025,Planned,0,2,,,"Customer Order Today Send Professional Coriar "
13,"Customer Order",23-10-2025,SO-0028,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,1.00,23-10-2025,Planned,0,1,,,"Customer Order Today Send ST Coriar "
14,"Customer Order",29-10-2025,SO-0027,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,1.00,29-10-2025,Planned,0,1,,,"Customer Order Today Send Professional Coriar "
15,"Customer Order",28-10-2025,SO-0026,MUTHUPANDI,"VIKAS SILKS",,"Zone - 1",0,0,0,0,0,0,44.00,28-10-2025,Planned,0,44,,,"Urgent Refill"
16,"Customer Order",28-10-2025,SO-0025,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,20.00,28-10-2025,Planned,0,20,,,"Urgent Refill "
17,"Customer Order",28-10-2025,SO-0024,MUTHUPANDI,"INDIA SILK HOUSE",,"Zone - 1",0,0,0,0,0,0,20.00,28-10-2025,Planned,0,20,,,"Urgent Refill Today Dispatch "
18,"Customer Order",28-10-2025,SO-0023,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,34.00,28-10-2025,Planned,0,34,,,"Urgent Refill "
19,"Customer Order",28-10-2025,SO-0022,MUTHUPANDI,"VENKATESH KUMAR & CO",,"Zone - 1",0,0,0,0,0,0,1.00,28-10-2025,Planned,0,1,,,"Customer  Order Today Dispatch "
20,"Customer Order",23-10-2025,SO-0021,MUTHUPANDI,"REGENT TEXTILES & GARMENTS",,"Zone - 1",0,0,0,0,0,0,1.00,23-10-2025,Planned,0,1,,,"Customer Order Already Send Coriar "
21,"Customer Order",23-10-2025,SO-0020,MUTHUPANDI,"INDIA SILK HOUSE",,"Zone - 1",0,0,0,0,0,0,7.00,23-10-2025,Planned,0,7,,,"Customer Order Today Dispatch By Lorry"
22,"Customer Order",23-10-2025,SO-0019,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,5.00,25-10-2025,Planned,0,5,,,"Customer Order Dispatch Date 25.10.2025
Professional Coriar "
23,"Customer Order",23-10-2025,SO-0018,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,80.00,23-10-2025,Planned,0,80,,,"Urgent Refill "
24,"Customer Order",23-10-2025,SO-0017,PASUPATHI,"S.P.A. SILKS",,"Zone - 5",0,0,0,0,0,0,123.00,23-10-2025,Planned,0,123,,,"Immediately despatch "
25,"Customer Order",25-10-2025,SO-0016,MUTHUPANDI,"SELVARANI PATTU JAWLI & READYMADE",,"Zone - 1",0,0,0,0,0,0,22.00,25-10-2025,Planned,0,22,,,"Urgent Refill "
26,"Customer Order",23-10-2025,SO-0015,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,30.00,23-10-2025,Planned,0,30,,,"Urgent Refill"
27,"Customer Order",23-10-2025,SO-0014,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,4.00,23-10-2025,Planned,0,4,,,"Customer Order Today Dispatch "
28,"Customer Order",24-10-2025,SO-0013,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,13.00,25-10-2025,Planned,0,13,,,"Customer Order Send Professional Coriar 25.10.2025"
29,"Customer Order",23-10-2025,SO-0012,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,2.00,25-10-2025,Planned,0,2,,,"Customer Order Send ST Coriar 25.10.2025"
30,"Customer Order",23-10-2025,SO-0011,MANIKANDAN,"SRI VENKATESWARA SILKS",,"Zone - 4",0,0,0,0,0,0,3.00,23-10-2025,Planned,0,3,,,"Customer order please today courier with out box "
31,"Customer Order",27-10-2025,SO-0010,PASUPATHI,"RAJA READYMADES",,"Zone - 5",0,0,0,0,0,0,44.00,27-10-2025,Planned,0,44,,,"Immediately despatch "
32,"Customer Order",27-10-2025,SO-0009,MUTHUPANDI,"VENKATESH KUMAR & CO",,"Zone - 1",0,0,0,0,0,0,10.00,30-10-2025,Planned,0,10,,,"Slag Cutting Customer Order Dispatch Date October 30"
33,"Customer Order",27-10-2025,SO-0008,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,7.00,29-10-2025,Planned,0,7,,,"Customer Order Dispatch Date 29.10.2025
Professional Coriar "
34,"Customer Order",27-10-2025,SO-0007,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,8.00,27-10-2025,Planned,0,8,,,"Customer Order Today Send Professional Coriar "
35,"Customer Order",23-10-2025,SO-0006,MUTHUPANDI,"K.CHINNADURAI & CO-CHEMBAKKAM",,"Zone - 1",0,0,0,0,0,0,20.00,23-10-2025,Planned,0,20,,,"Customer Order Today Dispatch "
